task_type,model_a,model_b,distance
moral,qwen35_4b,qwen35_9b,0.004272663768098234
moral,qwen35_4b,qwen35_27b,0.002224284892316392
moral,qwen35_9b,qwen35_27b,0.0020807484074551875
idea,reasoner,gemma4_e4b,0.03518204491330501
idea,reasoner,gemma4_31b,0.038762456443792476
idea,reasoner,qwen35_4b,0.027115937796564373
idea,reasoner,qwen35_9b,0.024148248989278025
idea,reasoner,qwen35_27b,0.02761715687716601
idea,gemma4_e4b,gemma4_31b,0.033600576848915674
idea,gemma4_e4b,qwen35_4b,0.016043339608405514
idea,gemma4_e4b,qwen35_9b,0.012438521975105235
idea,gemma4_e4b,qwen35_27b,0.010463325488950737
idea,gemma4_31b,qwen35_4b,0.01946749675029164
idea,gemma4_31b,qwen35_9b,0.03601777846556786
idea,gemma4_31b,qwen35_27b,0.0378458708863464
idea,qwen35_4b,qwen35_9b,0.01661328703691589
idea,qwen35_4b,qwen35_27b,0.018395186066969126
idea,qwen35_9b,qwen35_27b,0.0035854016618349868
safety,reasoner,gemma4_e4b,0.09229883873470006
safety,reasoner,gemma4_31b,0.07287400546348496
safety,reasoner,qwen35_4b,0.05725883488339151
safety,reasoner,qwen35_9b,0.057859633980893485
safety,reasoner,qwen35_27b,0.0564882878095399
safety,gemma4_e4b,gemma4_31b,0.0871099125220106
safety,gemma4_e4b,qwen35_4b,0.037702406258506696
safety,gemma4_e4b,qwen35_9b,0.036975675215685073
safety,gemma4_e4b,qwen35_27b,0.0380582170041294
safety,gemma4_31b,qwen35_4b,0.058132686986749685
safety,gemma4_31b,qwen35_9b,0.05866923202137842
safety,gemma4_31b,qwen35_27b,0.058703882364364676
safety,qwen35_4b,qwen35_9b,0.0007328497541298184
safety,qwen35_4b,qwen35_27b,0.0010692722006804861
safety,qwen35_9b,qwen35_27b,0.001410122484317428
security,reasoner,gemma4_e4b,0.03652400900073387
security,reasoner,gemma4_31b,0.021787323547404217
security,reasoner,qwen35_4b,0.01938488991855849
security,reasoner,qwen35_9b,0.019095982670813857
security,reasoner,qwen35_27b,0.023356570795591027
security,gemma4_e4b,gemma4_31b,0.022887070022037374
security,gemma4_e4b,qwen35_4b,0.02952946604987882
security,gemma4_e4b,qwen35_9b,0.024921949406091742
security,gemma4_e4b,qwen35_27b,0.014242007669189415
security,gemma4_31b,qwen35_4b,0.006718552321823494
security,gemma4_31b,qwen35_9b,0.0029305363763860778
security,gemma4_31b,qwen35_27b,0.01008119538941022
security,qwen35_4b,qwen35_9b,0.004799363512490904
security,qwen35_4b,qwen35_27b,0.016116339862649404
security,qwen35_9b,qwen35_27b,0.01132246237959828
