gen_model,task_type,motif,lag,observed,support,traces,lift,risk_difference,log_lift
anchor,math,question_to_subgoal,1,0,22,499,0.0,-0.1289702868852459,-18.67509260932577
anchor,math,perspective_to_verification,1,163,880,499,1.6141233766233767,0.070473174366617,0.4787920051369955
anchor,math,conflict_to_verification,1,67,379,499,1.540520165849981,0.06202690427786668,0.4321201263689683
anchor,math,conflict_to_reconciliation,1,50,379,499,9.71772788370588,0.11835030169990052,2.2739517682462065
anchor,math,verification_to_backtracking,1,126,896,499,5.689119170984456,0.11590676229508197,1.7385553998197438
anchor,math,backtracking_to_subgoal,1,29,193,499,1.1650673266409743,0.021288780472267066,0.15277887535740314
anchor,math,reconciliation_to_verification,1,2,106,499,0.16442048517520214,-0.09588617383235386,-1.8053281541484112
anchor,moral,question_to_subgoal,1,8,180,499,0.38245123493775385,-0.07176499713750792,-0.9611541103070996
anchor,moral,perspective_to_verification,1,0,2934,499,0.0,-6.962818548948615e-05,-11.150939090173015
anchor,moral,conflict_to_verification,1,0,593,499,0.0,-6.962818548948615e-05,-11.150939090173015
anchor,moral,conflict_to_reconciliation,1,100,593,499,2.0647250028393205,0.08696020250177712,0.7249970406933343
anchor,moral,verification_to_backtracking,1,0,1,499,0.0,-6.962818548948615e-05,-11.150939090173015
anchor,moral,backtracking_to_subgoal,1,1,1,499,8.605152786099461,0.8837905584180477,2.152361177403275
anchor,moral,reconciliation_to_verification,1,0,1173,499,0.0,-6.962818548948615e-05,-11.150939090173015
anchor,planning,question_to_subgoal,1,0,20,500,0.0,-0.024632581246118817,-17.01958060610017
anchor,planning,perspective_to_verification,1,811,1791,500,1.590961271001472,0.1681994923674237,0.4643384052033663
anchor,planning,conflict_to_verification,1,238,939,500,0.8905241552909284,-0.031159032596765335,-0.1159450506511296
anchor,planning,conflict_to_reconciliation,1,186,939,500,6.187107524512504,0.16606761135539927,1.8224676693146733
anchor,planning,verification_to_backtracking,1,36,4138,500,1.7272191582195093,0.003662940629960959,0.5465126086349579
anchor,planning,backtracking_to_subgoal,1,6,73,500,3.336710026476344,0.05755919957579898,1.20498527109257
anchor,planning,reconciliation_to_verification,1,36,464,500,0.2725956112852665,-0.2070339545607035,-1.299765849940976
anchor,safety,question_to_subgoal,1,0,1,312,0.0,-0.022690437601296597,-16.93745418672771
anchor,safety,perspective_to_verification,1,0,81,312,,0.0,0.0
anchor,safety,conflict_to_verification,1,0,7,312,,0.0,0.0
anchor,safety,conflict_to_reconciliation,1,0,7,312,0.0,-0.006482982171799027,-15.684691328410903
anchor,safety,verification_to_backtracking,1,0,0,312,,0.0,0.0
anchor,safety,backtracking_to_subgoal,1,0,0,312,0.0,-0.022690437601296597,-16.93745418672771
anchor,safety,reconciliation_to_verification,1,0,4,312,,0.0,0.0
anchor,security,question_to_subgoal,1,6,99,500,1.009700761525579,0.0005822764162878094,0.00965401107753579
anchor,security,perspective_to_verification,1,365,2471,500,1.4364079192029862,0.04487815054456444,0.3621454936297632
anchor,security,conflict_to_verification,1,235,1655,500,1.3807896909529214,0.039158631923117596,0.3226555726415677
anchor,security,conflict_to_reconciliation,1,147,1655,500,3.3079373798407032,0.061970653811833365,1.1963248210832074
anchor,security,verification_to_backtracking,1,284,1643,500,5.457899003798604,0.14118400800664038,1.6970638920741568
anchor,security,backtracking_to_subgoal,1,104,506,500,3.424202582565007,0.14550981264817187,1.2308686102033626
anchor,security,reconciliation_to_verification,1,29,429,500,0.6573525885759605,-0.03523625818174231,-0.4195347348824209
gemma4_31b,code,question_to_subgoal,1,63,1919,175,0.5744602303585448,-0.024319002693188638,-0.5543243959167009
gemma4_31b,code,perspective_to_verification,1,385,4480,175,0.6151356471487678,-0.05376745840768013,-0.48591246654842307
gemma4_31b,code,conflict_to_verification,1,235,2059,175,0.8169579348419328,-0.02557188409976366,-0.2021676711854683
gemma4_31b,code,conflict_to_reconciliation,1,455,2059,175,5.464920639759778,0.1805447792056868,1.6983495797736572
gemma4_31b,code,verification_to_backtracking,1,327,5559,175,2.4230300815978567,0.034546682888681596,0.8850188325876267
gemma4_31b,code,backtracking_to_subgoal,1,129,966,175,2.3367216222269565,0.0763917712282702,0.8487489208766755
gemma4_31b,code,reconciliation_to_verification,1,284,1609,175,1.2634279363326744,0.03680218888877729,0.23382860977077566
gemma4_31b,gpqa,question_to_subgoal,1,380,9459,500,1.033019615939297,0.0012841087944107654,0.03248617842791933
gemma4_31b,gpqa,perspective_to_verification,1,2618,15630,500,0.8224706124778122,-0.036154347648031715,-0.195442525431296
gemma4_31b,gpqa,conflict_to_verification,1,1420,7610,500,0.9162487868632128,-0.01705616471702956,-0.08746734935709535
gemma4_31b,gpqa,conflict_to_reconciliation,1,906,7610,500,2.7098426968141576,0.07512000658310808,0.9968905733889529
gemma4_31b,gpqa,verification_to_backtracking,1,2254,17764,500,2.1764476761525584,0.06858632493219324,0.7776940320877465
gemma4_31b,gpqa,backtracking_to_subgoal,1,354,5086,500,1.7897695022963518,0.030713560246144612,0.5820868305474945
gemma4_31b,gpqa,reconciliation_to_verification,1,1043,3832,500,1.3364986765551579,0.06852888023261641,0.29005326512821344
gemma4_31b,idea,question_to_subgoal,1,160,2993,500,0.4814285311410937,-0.057582439512688724,-0.7309974786737072
gemma4_31b,idea,perspective_to_verification,1,2197,6308,500,1.5299876185979457,0.12064690348703036,0.42525964143026296
gemma4_31b,idea,conflict_to_verification,1,41,2382,500,0.07561215981925384,-0.2104285583763319,-2.5821381108559844
gemma4_31b,idea,conflict_to_reconciliation,1,116,2382,500,1.7892461947093474,0.021481204346338604,0.5817943946757494
gemma4_31b,idea,verification_to_backtracking,1,218,4299,500,0.6271436085789587,-0.0301483563515981,-0.4665797164264712
gemma4_31b,idea,backtracking_to_subgoal,1,167,1527,500,0.9849087432415847,-0.0016757408219431752,-0.015206288419249966
gemma4_31b,idea,reconciliation_to_verification,1,18,514,500,0.15383633692750917,-0.19262152965573937,-1.8718659647460516
gemma4_31b,math,question_to_subgoal,1,44,1636,499,0.5022241042000452,-0.02665665719247986,-0.6887088176899135
gemma4_31b,math,perspective_to_verification,1,457,2638,499,0.9391329343011705,-0.01122785262389342,-0.06279823936682695
gemma4_31b,math,conflict_to_verification,1,157,1082,499,0.7866074472424811,-0.03936349002353662,-0.24002594992259962
gemma4_31b,math,conflict_to_reconciliation,1,159,1082,499,4.019085027726432,0.11038702112345275,1.3910542511368267
gemma4_31b,math,verification_to_backtracking,1,244,4137,499,2.2457437190487273,0.032716950573848505,0.8090367231850107
gemma4_31b,math,backtracking_to_subgoal,1,43,589,499,1.3632683007510717,0.019453570660455576,0.30988497411235016
gemma4_31b,math,reconciliation_to_verification,1,211,820,499,1.3949359439207156,0.07285191956124315,0.3328484943478232
gemma4_31b,moral,question_to_subgoal,1,358,1548,500,0.9144663189131317,-0.02163124513185713,-0.08941464151632805
gemma4_31b,moral,perspective_to_verification,1,67,6357,500,0.9863142991977348,-0.00014624273584557673,-0.013780212010934939
gemma4_31b,moral,conflict_to_verification,1,19,1272,500,1.3978456772740073,0.004251301495591466,0.33493222286765434
gemma4_31b,moral,conflict_to_reconciliation,1,221,1272,500,3.133355342896941,0.1182929092313402,1.1421044126331295
gemma4_31b,moral,verification_to_backtracking,1,16,201,500,9.185971980587857,0.07093638664730573,2.217677432832753
gemma4_31b,moral,backtracking_to_subgoal,1,22,163,500,0.5336920340834495,-0.11792806984928395,-0.6279363181307341
gemma4_31b,moral,reconciliation_to_verification,1,26,1043,500,2.332822941858302,0.014242286619538476,0.8470790437900088
gemma4_31b,planning,question_to_subgoal,1,163,10302,500,0.7724000870986364,-0.004662252991697421,-0.2582526012792708
gemma4_31b,planning,perspective_to_verification,1,1896,9150,500,0.7815036697739206,-0.05793357971253488,-0.24653543226921915
gemma4_31b,planning,conflict_to_verification,1,624,2524,500,0.9324145070072404,-0.017920070060928023,-0.069977812887373
gemma4_31b,planning,conflict_to_reconciliation,1,402,2524,500,5.137080879452453,0.12826681488127858,1.6364849698775088
gemma4_31b,planning,verification_to_backtracking,1,450,19585,500,1.5920141242220733,0.008544252804873075,0.4649999336158563
gemma4_31b,planning,backtracking_to_subgoal,1,23,1066,500,1.0532873941785328,0.0010915615465823675,0.051916122388230554
gemma4_31b,planning,reconciliation_to_verification,1,645,2290,500,1.0622775788808974,0.016512694179654952,0.06041526215730622
gemma4_31b,safety,question_to_subgoal,1,3,134,313,0.2738565238324506,-0.05936299515082814,-1.2951509129526737
gemma4_31b,safety,perspective_to_verification,1,17,871,313,1.1937335654235026,0.0031675846667344847,0.1770858356075384
gemma4_31b,safety,conflict_to_verification,1,1,93,313,0.6576482830385015,-0.005597522798421125,-0.4190849829847279
gemma4_31b,safety,conflict_to_reconciliation,1,14,93,313,11.649769585253457,0.13761569348033212,2.4552863309813935
gemma4_31b,safety,verification_to_backtracking,1,10,62,313,13.900293255131963,0.149686947053219,2.631909857423791
gemma4_31b,safety,backtracking_to_subgoal,1,3,44,313,0.8340175953079179,-0.0135692366705025,-0.18150077692002248
gemma4_31b,safety,reconciliation_to_verification,1,0,49,313,0.0,-0.016350210970464137,-16.60975141977788
gemma4_31b,security,question_to_subgoal,1,210,4627,496,1.395165441522652,0.01285502845184796,0.33301299560814446
gemma4_31b,security,perspective_to_verification,1,1568,9760,496,0.9340380230093562,-0.011345544627577281,-0.0682381313112142
gemma4_31b,security,conflict_to_verification,1,779,4905,496,0.923350866782783,-0.013183749203035583,-0.0797459788711002
gemma4_31b,security,conflict_to_reconciliation,1,521,4905,496,2.761066133733927,0.06774816989072087,1.0156168689006846
gemma4_31b,security,verification_to_backtracking,1,1449,10195,496,2.654752434677894,0.08859111268046227,0.9763513937612588
gemma4_31b,security,backtracking_to_subgoal,1,173,3173,496,1.6760306096695012,0.02199178320891556,0.5164282530199661
gemma4_31b,security,reconciliation_to_verification,1,521,2280,496,1.328529466937896,0.056507489597329236,0.284072665142161
gemma4_e4b,code,question_to_subgoal,1,15,518,175,0.40692948587685435,-0.042203519731609615,-0.8991153414427625
gemma4_e4b,code,perspective_to_verification,1,137,5232,175,0.3729446542917996,-0.044026516069927454,-0.9863252263153508
gemma4_e4b,code,conflict_to_verification,1,161,1975,175,1.1610484170082453,0.011307455981324821,0.14932340272010017
gemma4_e4b,code,conflict_to_reconciliation,1,355,1975,175,9.27620896413885,0.1603696484760425,2.227452900493312
gemma4_e4b,code,verification_to_backtracking,1,415,3993,175,5.4577192913082655,0.08488878325485488,1.6970309473853837
gemma4_e4b,code,backtracking_to_subgoal,1,182,1083,175,2.3615687417990965,0.09689065952877464,0.859326111207532
gemma4_e4b,code,reconciliation_to_verification,1,81,1102,175,1.0468753621923665,0.0032911909626016644,0.04580988136829576
gemma4_e4b,gpqa,question_to_subgoal,1,23,513,500,0.40410911736447797,-0.06611173619656359,-0.9060703317121072
gemma4_e4b,gpqa,perspective_to_verification,1,576,5116,500,0.7673298728440296,-0.0341389743103965,-0.2648384860721945
gemma4_e4b,gpqa,conflict_to_verification,1,334,2144,500,1.061724512401371,0.00905664843591883,0.05989448425387261
gemma4_e4b,gpqa,conflict_to_reconciliation,1,337,2144,500,4.126799482876076,0.11909452150537887,1.417502143042627
gemma4_e4b,gpqa,verification_to_backtracking,1,470,4642,500,2.917330793758422,0.06654326300049775,1.070669067562012
gemma4_e4b,gpqa,backtracking_to_subgoal,1,144,1098,500,1.1820839755265986,0.02020149679484025,0.1672789603566897
gemma4_e4b,gpqa,reconciliation_to_verification,1,169,1205,500,0.9558501575905364,-0.00647797099803174,-0.0451541168228012
gemma4_e4b,idea,question_to_subgoal,1,329,2827,500,0.5402446752356532,-0.0990390263601188,-0.6157331358048732
gemma4_e4b,idea,perspective_to_verification,1,841,3160,500,1.9454900625488156,0.12934119376757777,0.6655139019605
gemma4_e4b,idea,conflict_to_verification,1,16,927,500,0.12617123443282077,-0.11953806831372435,-2.070115240577498
gemma4_e4b,idea,conflict_to_reconciliation,1,125,927,500,5.491428238697656,0.11028829717625217,1.703188341147388
gemma4_e4b,idea,verification_to_backtracking,1,56,1961,500,2.624119039213379,0.017674403217111063,0.9647451787335712
gemma4_e4b,idea,backtracking_to_subgoal,1,29,156,500,0.8629662382091139,-0.02951937610116892,-0.14737970935311248
gemma4_e4b,idea,reconciliation_to_verification,1,21,352,500,0.43611069259654167,-0.0771389558296604,-0.8298591763016915
gemma4_e4b,math,question_to_subgoal,1,23,382,485,0.45253037896944037,-0.07284114419163804,-0.7929003731588429
gemma4_e4b,math,perspective_to_verification,1,313,3162,485,0.7118223754583458,-0.040074775081418476,-0.33992686845326864
gemma4_e4b,math,conflict_to_verification,1,131,815,485,1.1558536545487246,0.02167343894790985,0.14483916485542192
gemma4_e4b,math,conflict_to_reconciliation,1,148,815,485,7.044497148121288,0.15581680179228818,1.9522467323879036
gemma4_e4b,math,verification_to_backtracking,1,200,3377,485,3.021427700484991,0.03962277983161158,1.105729434049568
gemma4_e4b,math,backtracking_to_subgoal,1,78,476,485,1.231603504911714,0.03081497794307972,0.208316981470623
gemma4_e4b,math,reconciliation_to_verification,1,100,626,485,1.14872171360292,0.020681651574578352,0.1386497698217518
gemma4_e4b,moral,question_to_subgoal,1,82,1336,500,0.24594165144032176,-0.1881829454937825,-1.4026609481649486
gemma4_e4b,moral,perspective_to_verification,1,77,1543,500,0.29200468910830696,-0.12099442357535845,-1.2309854040652106
gemma4_e4b,moral,conflict_to_verification,1,31,437,500,0.4150928792569659,-0.09995899525138557,-0.8792529701083642
gemma4_e4b,moral,conflict_to_reconciliation,1,134,437,500,9.361421456454435,0.2738808569551549,2.236597116696777
gemma4_e4b,moral,verification_to_backtracking,1,19,2040,500,0.5171067031463749,-0.008697500110876217,-0.6595059848569594
gemma4_e4b,moral,backtracking_to_subgoal,1,17,215,500,0.31683645987025455,-0.17049042356090405,-1.1493695290496813
gemma4_e4b,moral,reconciliation_to_verification,1,26,391,500,0.38910034602076127,-0.10440104667149594,-0.9439180005201165
gemma4_e4b,planning,question_to_subgoal,1,42,2595,500,0.29111096080706333,-0.03941228657075277,-1.2340507320757477
gemma4_e4b,planning,perspective_to_verification,1,698,3938,500,0.772420339933676,-0.05222271587019611,-0.2582263940704415
gemma4_e4b,planning,conflict_to_verification,1,306,1061,500,1.2568401132488376,0.0589371135116121,0.22860072353014094
gemma4_e4b,planning,conflict_to_reconciliation,1,212,1061,500,10.211849555623585,0.18024486694934805,2.323548721051254
gemma4_e4b,planning,verification_to_backtracking,1,150,9171,500,1.9512838164428103,0.007973779675432655,0.6684874651919922
gemma4_e4b,planning,backtracking_to_subgoal,1,31,335,500,1.6644222631218346,0.036940055763817155,0.509478066921692
gemma4_e4b,planning,reconciliation_to_verification,1,112,782,500,0.6241446614913406,-0.0862475431482489,-0.4713731055436507
gemma4_e4b,safety,question_to_subgoal,1,0,20,57,0.0,-0.29118773946360155,-19.48947877334426
gemma4_e4b,safety,perspective_to_verification,1,7,128,57,1.3813004032258063,0.015096184546615578,0.32302536966900286
gemma4_e4b,safety,conflict_to_verification,1,1,42,57,0.6013824884792626,-0.015781791643860614,-0.5085241100357766
gemma4_e4b,safety,conflict_to_reconciliation,1,24,42,57,17.208791208791208,0.5382229520160554,2.845420341668514
gemma4_e4b,safety,verification_to_backtracking,1,3,31,57,2.3679435483870965,0.05590573888682898,0.8620218632386234
gemma4_e4b,safety,backtracking_to_subgoal,1,4,32,57,0.4292763157894737,-0.16618773946360155,-0.8456544700776842
gemma4_e4b,safety,reconciliation_to_verification,1,0,26,57,0.0,-0.03959131545338442,-17.49412037069882
gemma4_e4b,security,question_to_subgoal,1,38,689,500,0.7200297569122828,-0.021444987826965252,-0.3284627337049178
gemma4_e4b,security,perspective_to_verification,1,514,6867,500,0.7268256795825166,-0.02813232849410996,-0.31906860704269235
gemma4_e4b,security,conflict_to_verification,1,323,2870,500,1.092835557129899,0.009560490111664557,0.08877574611733535
gemma4_e4b,security,conflict_to_reconciliation,1,455,2870,500,5.744463720787835,0.1309384329409114,1.748236529895637
gemma4_e4b,security,verification_to_backtracking,1,733,5351,500,3.994206061109444,0.10268812934751788,1.3848448044710158
gemma4_e4b,security,backtracking_to_subgoal,1,275,1782,500,2.0147031453564117,0.07772360505231944,0.7004718555665927
gemma4_e4b,security,reconciliation_to_verification,1,143,1434,500,0.9683248507102649,-0.003262003923198087,-0.03218765810878972
qwen35_27b,code,question_to_subgoal,1,186,12454,159,0.49772597817423503,-0.01507143103444062,-0.6977055643969114
qwen35_27b,code,perspective_to_verification,1,1417,16441,159,0.6126934400987455,-0.05448202525481967,-0.4898905613608983
qwen35_27b,code,conflict_to_verification,1,985,7060,159,0.9918206336986052,-0.001150583252487708,-0.00821300079106963
qwen35_27b,code,conflict_to_reconciliation,1,1478,7060,159,4.650899126295888,0.16433597525238514,1.5370605439619314
qwen35_27b,code,verification_to_backtracking,1,780,24429,159,2.2512918568010534,0.017746623306639838,0.8115041708391066
qwen35_27b,code,backtracking_to_subgoal,1,193,2463,159,2.6114344145200823,0.048353332224274306,0.9598996339113032
qwen35_27b,code,reconciliation_to_verification,1,1529,7817,159,1.3904935640611062,0.054930337932943496,0.32965876417784035
qwen35_27b,gpqa,question_to_subgoal,1,1142,34403,490,0.728417034220336,-0.012376339717895535,-0.3168815374156674
qwen35_27b,gpqa,perspective_to_verification,1,5672,42199,490,0.756703006165397,-0.043216077554456694,-0.27878443074865117
qwen35_27b,gpqa,conflict_to_verification,1,3736,21721,490,0.9683189890331908,-0.005627398042887338,-0.032193711680614856
qwen35_27b,gpqa,conflict_to_reconciliation,1,3507,21721,490,3.3737379602987683,0.1135997505054321,1.216021302001094
qwen35_27b,gpqa,verification_to_backtracking,1,3997,51599,490,2.4227206340039675,0.045489289680674616,0.884891119257234
qwen35_27b,gpqa,backtracking_to_subgoal,1,753,9288,490,1.7790291914709553,0.03550123217825167,0.5760678078612912
qwen35_27b,gpqa,reconciliation_to_verification,1,3172,13902,490,1.2845389900692443,0.05054176325112633,0.25039989013740455
qwen35_27b,idea,question_to_subgoal,1,268,7184,498,0.5896909765589975,-0.0259570334098643,-0.5281566368423714
qwen35_27b,idea,perspective_to_verification,1,5071,31085,498,1.251429461906607,0.032775741792662155,0.224286465920689
qwen35_27b,idea,conflict_to_verification,1,879,13446,498,0.501486682647085,-0.06498500074677696,-0.6901782193477236
qwen35_27b,idea,conflict_to_reconciliation,1,1778,13446,498,3.660016016806101,0.09610365730901385,1.297467503464046
qwen35_27b,idea,verification_to_backtracking,1,3716,15201,498,1.7146587012231584,0.10188835355316878,0.5392140498565869
qwen35_27b,idea,backtracking_to_subgoal,1,1306,16625,498,1.2417596247634133,0.015294235073147242,0.21652942286486826
qwen35_27b,idea,reconciliation_to_verification,1,395,4213,498,0.71923244896268,-0.03660018474674814,-0.3295706757129187
qwen35_27b,math,question_to_subgoal,1,438,16832,439,0.40851558360869905,-0.037676718189607716,-0.8952251943105152
qwen35_27b,math,perspective_to_verification,1,3066,18745,439,0.7361215545556674,-0.058632861256050745,-0.30636001663035817
qwen35_27b,math,conflict_to_verification,1,1403,6387,439,0.9886067780079224,-0.0025315338022248446,-0.011458621912674848
qwen35_27b,math,conflict_to_reconciliation,1,1475,6387,439,4.847534779862599,0.1832975772897399,1.5784702662524965
qwen35_27b,math,verification_to_backtracking,1,933,37401,439,1.7020617933574065,0.01028959889387563,0.5318403076691532
qwen35_27b,math,backtracking_to_subgoal,1,214,2467,439,1.3618048106295773,0.023046453147324966,0.30881088244178406
qwen35_27b,math,reconciliation_to_verification,1,2551,8019,439,1.4317034581971049,0.09592298804703978,0.35886496347232144
qwen35_27b,moral,question_to_subgoal,1,412,4512,497,0.6033338437230936,-0.06003376562522458,-0.5052845930967821
qwen35_27b,moral,perspective_to_verification,1,422,10571,497,0.7055657605243445,-0.016658933444088857,-0.3487552934254188
qwen35_27b,moral,conflict_to_verification,1,180,3620,497,0.8788303643597393,-0.006855713857092015,-0.12916338456102575
qwen35_27b,moral,conflict_to_reconciliation,1,1202,3620,497,5.234281693719079,0.26860775845784846,1.6552296098768036
qwen35_27b,moral,verification_to_backtracking,1,221,2987,497,2.274904122484562,0.04146402701695287,0.8219378903206059
qwen35_27b,moral,backtracking_to_subgoal,1,106,1717,497,0.4079107329123548,-0.08961023703957503,-0.8967069108071652
qwen35_27b,moral,reconciliation_to_verification,1,232,3349,497,1.22437359942252,0.012694939508553542,0.2024293625649198
qwen35_27b,planning,question_to_subgoal,1,334,24808,499,0.4490891263590905,-0.016515948431617827,-0.8005338703330181
qwen35_27b,planning,perspective_to_verification,1,3357,22459,499,0.6898932209184572,-0.06718778268750861,-0.3712184435836183
qwen35_27b,planning,conflict_to_verification,1,1221,5918,499,0.9522734026306054,-0.010340451962921826,-0.048903097552733484
qwen35_27b,planning,conflict_to_reconciliation,1,1209,5918,499,5.36938093934433,0.16624440314409566,1.6807125991735463
qwen35_27b,planning,verification_to_backtracking,1,594,42697,499,1.796606070309635,0.0061685037387539535,0.5858993113232217
qwen35_27b,planning,backtracking_to_subgoal,1,65,1526,499,1.420812107181235,0.012615672324042523,0.35122860472327766
qwen35_27b,planning,reconciliation_to_verification,1,1693,7498,499,1.0421553764627263,0.009133390380166445,0.0412910457159725
qwen35_27b,safety,question_to_subgoal,1,74,1446,313,0.33278501926600446,-0.10260427306633087,-1.1002585722352594
qwen35_27b,safety,perspective_to_verification,1,240,3225,313,0.7687992036919736,-0.022379888757500105,-0.2629254540003015
qwen35_27b,safety,conflict_to_verification,1,47,820,313,0.5921277403435513,-0.039481420237931185,-0.5240328826513515
qwen35_27b,safety,conflict_to_reconciliation,1,303,820,313,10.797773815002301,0.33529104903639834,2.3793399581268737
qwen35_27b,safety,verification_to_backtracking,1,102,1799,313,1.8617233366789951,0.026243497904778652,0.6215025686634738
qwen35_27b,safety,backtracking_to_subgoal,1,65,566,313,0.7467878894282246,-0.0389389406518232,-0.2919740818611129
qwen35_27b,safety,reconciliation_to_verification,1,56,636,313,0.9096248439908964,-0.008748178943254095,-0.09472302279775
qwen35_27b,security,question_to_subgoal,1,328,14559,460,0.6286411231204965,-0.01330862904300742,-0.4641947201022975
qwen35_27b,security,perspective_to_verification,1,2450,24184,460,0.745760945509236,-0.034536679369740655,-0.2933501760023707
qwen35_27b,security,conflict_to_verification,1,1508,11169,460,0.9939138366193091,-0.0008267646907820503,-0.006104759519296342
qwen35_27b,security,conflict_to_reconciliation,1,1446,11169,460,3.6934372713566646,0.09441263965241661,1.3065575135148386
qwen35_27b,security,verification_to_backtracking,1,2751,26310,460,3.1519487286424805,0.07138755663509176,1.1480208849889098
qwen35_27b,security,backtracking_to_subgoal,1,432,6425,460,1.8761653222800063,0.03139970519233125,0.6292299585530654
qwen35_27b,security,reconciliation_to_verification,1,1266,6789,460,1.3727440911945392,0.050634797987021446,0.31681172081216397
qwen35_4b,code,question_to_subgoal,1,47,2495,94,0.5702383761794755,-0.014197062642401462,-0.5617007789388057
qwen35_4b,code,perspective_to_verification,1,478,4690,94,0.7271015374458554,-0.03825261063558601,-0.31868914216051686
qwen35_4b,code,conflict_to_verification,1,266,2088,94,0.908847781329857,-0.012776951166102557,-0.09557765539456943
qwen35_4b,code,conflict_to_reconciliation,1,449,2088,94,4.8374465794538875,0.17058545859545626,1.576386997442569
qwen35_4b,code,verification_to_backtracking,1,298,6666,94,2.187207609649854,0.024265409129860752,0.7826256395989182
qwen35_4b,code,backtracking_to_subgoal,1,89,972,94,2.7717424617488273,0.05852904801512759,1.019476150644699
qwen35_4b,code,reconciliation_to_verification,1,389,2114,94,1.3127578604596504,0.04383976570409684,0.27213015959934744
qwen35_4b,gpqa,question_to_subgoal,1,1016,34841,339,0.779695737207575,-0.008239499604021323,-0.2488515083480545
qwen35_4b,gpqa,perspective_to_verification,1,6200,44630,339,0.7499327703845903,-0.04632327476715692,-0.28777171415677216
qwen35_4b,gpqa,conflict_to_verification,1,3977,22720,339,0.9449412176254045,-0.010199269645231102,-0.056632556679574717
qwen35_4b,gpqa,conflict_to_reconciliation,1,3779,22720,339,3.177758303109239,0.11398753996044211,1.156175998985553
qwen35_4b,gpqa,verification_to_backtracking,1,4106,52432,339,2.2796920690304843,0.043959405559500994,0.8240403600613392
qwen35_4b,gpqa,backtracking_to_subgoal,1,715,9723,339,1.966200578235137,0.03613642868669592,0.6761030268993171
qwen35_4b,gpqa,reconciliation_to_verification,1,3278,14815,339,1.1944413301638734,0.036018950492334084,0.17767856905060697
qwen35_4b,idea,question_to_subgoal,1,67,2175,161,0.5036219751043551,-0.030361513437599887,-0.6859293256209055
qwen35_4b,idea,perspective_to_verification,1,1895,13054,161,1.1844881026740994,0.022610140835662096,0.16931069911986765
qwen35_4b,idea,conflict_to_verification,1,197,5421,161,0.29651858285740296,-0.08621593309441261,-1.2156453690947344
qwen35_4b,idea,conflict_to_reconciliation,1,489,5421,161,2.6354736425528626,0.055977606391541194,0.9690628982039065
qwen35_4b,idea,verification_to_backtracking,1,1351,4927,161,1.5469441268851358,0.09694850624803439,0.4362814518691299
qwen35_4b,idea,backtracking_to_subgoal,1,410,7126,161,0.9406480709684291,-0.0036303266874442297,-0.061186203038713464
qwen35_4b,idea,reconciliation_to_verification,1,143,1376,161,0.8479743204270725,-0.01863167313207835,-0.16490492470115486
qwen35_4b,math,question_to_subgoal,1,570,22410,409,0.48391295653586536,-0.0271261841031406,-0.725850210016671
qwen35_4b,math,perspective_to_verification,1,3875,24354,409,0.7195924760113588,-0.06200182228640774,-0.3290702309910849
qwen35_4b,math,conflict_to_verification,1,2258,10624,409,0.9612162056219069,-0.008575611283242579,-0.039555915298041866
