gen_model,task_type,quality_class,decile,segments,behavior,positive_segments,prevalence,signature_family,dominance_share,behavior_label,abbreviation
gemma4_31b,code,high,4,2437,verification,380,0.15592942141977842,cognitive,0.6462585034013606,Verification,V
gemma4_31b,code,high,5,2468,verification,395,0.1600486223662885,cognitive,0.646481178396072,Verification,V
gemma4_31b,code,high,6,2471,verification,438,0.1772561715904492,cognitive,0.7604166666666666,Verification,V
gemma4_31b,code,high,7,2438,verification,488,0.20016406890894176,cognitive,0.7922077922077922,Verification,V
gemma4_31b,code,high,8,2463,verification,477,0.19366626065773446,cognitive,0.7559429477020603,Verification,V
gemma4_31b,code,high,9,2527,verification,594,0.23506133755441236,cognitive,0.8366197183098592,Verification,V
gemma4_31b,code,high,0,2511,Perspective_Shift,241,0.09597769812823577,conversational,0.5052410901467506,Perspective shift,P
gemma4_31b,code,high,1,2445,Perspective_Shift,278,0.11370143149284254,conversational,0.4648829431438127,Perspective shift,P
gemma4_31b,code,high,2,2456,Perspective_Shift,265,0.10789902280130294,conversational,0.4944029850746269,Perspective shift,P
gemma4_31b,code,high,3,2453,Perspective_Shift,230,0.09376273950264982,conversational,0.4144144144144144,Perspective shift,P
gemma4_31b,code,high,4,2437,Perspective_Shift,286,0.11735740664751744,conversational,0.4750830564784053,Perspective shift,P
gemma4_31b,code,high,5,2468,Perspective_Shift,275,0.11142625607779579,conversational,0.47577854671280273,Perspective shift,P
gemma4_31b,code,high,6,2471,Perspective_Shift,242,0.09793605827600162,conversational,0.42233856893542754,Perspective shift,P
gemma4_31b,code,high,7,2438,Perspective_Shift,293,0.12018047579983593,conversational,0.4535603715170279,Perspective shift,P
gemma4_31b,code,high,8,2463,Perspective_Shift,284,0.11530653674380836,conversational,0.4863013698630137,Perspective shift,P
gemma4_31b,code,high,9,2527,Perspective_Shift,265,0.10486743173723784,conversational,0.43230016313213704,Perspective shift,P
gemma4_31b,code,low,0,1505,subgoal,79,0.05249169435215947,cognitive,0.3726415094339623,Subgoal setting,S
gemma4_31b,code,low,1,1487,verification,136,0.09145931405514458,cognitive,0.4579124579124579,Verification,V
gemma4_31b,code,low,2,1488,verification,153,0.1028225806451613,cognitive,0.5,Verification,V
gemma4_31b,code,low,3,1490,verification,166,0.11140939597315436,cognitive,0.50920245398773,Verification,V
gemma4_31b,code,low,4,1477,verification,183,0.12389979688557888,cognitive,0.5700934579439252,Verification,V
gemma4_31b,code,low,5,1492,verification,200,0.13404825737265416,cognitive,0.5797101449275363,Verification,V
gemma4_31b,code,low,6,1491,verification,215,0.1441985244802146,cognitive,0.6056338028169014,Verification,V
gemma4_31b,code,low,7,1487,verification,186,0.12508406186953597,cognitive,0.5980707395498392,Verification,V
gemma4_31b,code,low,8,1488,verification,167,0.11223118279569892,cognitive,0.5566666666666666,Verification,V
gemma4_31b,code,low,9,1510,verification,261,0.1728476821192053,cognitive,0.6590909090909091,Verification,V
gemma4_31b,code,low,0,1505,Perspective_Shift,174,0.11561461794019934,conversational,0.5058139534883721,Perspective shift,P
gemma4_31b,code,low,1,1487,Perspective_Shift,174,0.11701412239408204,conversational,0.3841059602649006,Perspective shift,P
gemma4_31b,code,low,2,1488,Perspective_Shift,171,0.11491935483870967,conversational,0.4201474201474202,Perspective shift,P
gemma4_31b,code,low,3,1490,Perspective_Shift,164,0.11006711409395974,conversational,0.40897755610972575,Perspective shift,P
gemma4_31b,code,low,4,1477,Perspective_Shift,170,0.11509817197020988,conversational,0.43037974683544306,Perspective shift,P
gemma4_31b,code,low,5,1492,Perspective_Shift,185,0.1239946380697051,conversational,0.4195011337868481,Perspective shift,P
gemma4_31b,code,low,6,1491,Perspective_Shift,189,0.1267605633802817,conversational,0.44575471698113206,Perspective shift,P
gemma4_31b,code,low,7,1487,Perspective_Shift,168,0.11297915265635508,conversational,0.4221105527638191,Perspective shift,P
gemma4_31b,code,low,8,1488,Perspective_Shift,178,0.1196236559139785,conversational,0.4258373205741627,Perspective shift,P
gemma4_31b,code,low,9,1510,Perspective_Shift,193,0.12781456953642384,conversational,0.40292275574112735,Perspective shift,P
gemma4_31b,gpqa,all,0,8955,verification,837,0.09346733668341708,cognitive,0.46141124586549065,Verification,V
gemma4_31b,gpqa,all,1,8695,verification,1425,0.16388729154686602,cognitive,0.5544747081712063,Verification,V
gemma4_31b,gpqa,all,2,8751,verification,1592,0.18192206604959432,cognitive,0.5924823222925195,Verification,V
gemma4_31b,gpqa,all,3,8691,verification,1655,0.19042687837993327,cognitive,0.6240573152337858,Verification,V
gemma4_31b,gpqa,all,4,8653,verification,1847,0.21345198197157056,cognitive,0.6692028985507247,Verification,V
gemma4_31b,gpqa,all,5,8791,verification,1892,0.2152201114776476,cognitive,0.6629292221443588,Verification,V
gemma4_31b,gpqa,all,6,8739,verification,1906,0.21810275775260327,cognitive,0.6742129465864874,Verification,V
gemma4_31b,gpqa,all,7,8703,verification,1985,0.22808227048144317,cognitive,0.6969803370786516,Verification,V
gemma4_31b,gpqa,all,8,8743,verification,2114,0.24179343474779824,cognitive,0.7185588035350102,Verification,V
gemma4_31b,gpqa,all,9,9001,verification,2511,0.2789690034440618,cognitive,0.7735674676524954,Verification,V
gemma4_31b,gpqa,all,0,8955,Perspective_Shift,1189,0.1327749860413177,conversational,0.46921862667719016,Perspective shift,P
gemma4_31b,gpqa,all,1,8695,Perspective_Shift,1585,0.18228867165037377,conversational,0.44547498594716134,Perspective shift,P
gemma4_31b,gpqa,all,2,8751,Perspective_Shift,1647,0.18820706205005142,conversational,0.43884892086330934,Perspective shift,P
gemma4_31b,gpqa,all,3,8691,Perspective_Shift,1634,0.18801058566332987,conversational,0.4434192672998643,Perspective shift,P
gemma4_31b,gpqa,all,4,8653,Perspective_Shift,1624,0.18768057321160292,conversational,0.4322597817407506,Perspective shift,P
gemma4_31b,gpqa,all,5,8791,Perspective_Shift,1671,0.19008076441815494,conversational,0.4242193450114242,Perspective shift,P
gemma4_31b,gpqa,all,6,8739,Perspective_Shift,1638,0.1874356333676622,conversational,0.42823529411764705,Perspective shift,P
gemma4_31b,gpqa,all,7,8703,Perspective_Shift,1581,0.18166149603584972,conversational,0.42216288384512685,Perspective shift,P
gemma4_31b,gpqa,all,8,8743,Perspective_Shift,1618,0.18506233558275192,conversational,0.41275510204081634,Perspective shift,P
gemma4_31b,gpqa,all,9,9001,Perspective_Shift,1443,0.16031552049772246,conversational,0.37824377457404973,Perspective shift,P
gemma4_31b,gpqa,high,0,5697,verification,510,0.08952080042127436,cognitive,0.4517271922054916,Verification,V
gemma4_31b,gpqa,high,1,5501,verification,921,0.16742410470823488,cognitive,0.5671182266009852,Verification,V
gemma4_31b,gpqa,high,2,5539,verification,1053,0.1901065174219173,cognitive,0.6227084565345948,Verification,V
gemma4_31b,gpqa,high,3,5495,verification,1113,0.20254777070063695,cognitive,0.6531690140845071,Verification,V
gemma4_31b,gpqa,high,4,5463,verification,1265,0.23155775215083288,cognitive,0.705521472392638,Verification,V
gemma4_31b,gpqa,high,5,5573,verification,1289,0.23129373766373587,cognitive,0.6997828447339848,Verification,V
gemma4_31b,gpqa,high,6,5531,verification,1301,0.23521967094557947,cognitive,0.7097654118930715,Verification,V
gemma4_31b,gpqa,high,7,5503,verification,1372,0.24931855351626386,cognitive,0.7293992557150453,Verification,V
gemma4_31b,gpqa,high,8,5537,verification,1426,0.257540184215279,cognitive,0.7505263157894736,Verification,V
gemma4_31b,gpqa,high,9,5731,verification,1731,0.3020415285290525,cognitive,0.7980636237897649,Verification,V
gemma4_31b,gpqa,high,0,5697,Perspective_Shift,724,0.12708443040196596,conversational,0.473202614379085,Perspective shift,P
gemma4_31b,gpqa,high,1,5501,Perspective_Shift,1009,0.18342119614615524,conversational,0.44745011086474495,Perspective shift,P
gemma4_31b,gpqa,high,2,5539,Perspective_Shift,1025,0.18505145333092615,conversational,0.44219154443485764,Perspective shift,P
gemma4_31b,gpqa,high,3,5495,Perspective_Shift,1011,0.18398544131028208,conversational,0.43728373702422146,Perspective shift,P
gemma4_31b,gpqa,high,4,5463,Perspective_Shift,1001,0.1832326560497895,conversational,0.4265019173412868,Perspective shift,P
gemma4_31b,gpqa,high,5,5573,Perspective_Shift,1046,0.1876906513547461,conversational,0.4084342053885201,Perspective shift,P
gemma4_31b,gpqa,high,6,5531,Perspective_Shift,1028,0.18586150786476224,conversational,0.4220032840722496,Perspective shift,P
gemma4_31b,gpqa,high,7,5503,Perspective_Shift,992,0.18026530983100128,conversational,0.4116182572614108,Perspective shift,P
gemma4_31b,gpqa,high,8,5537,Perspective_Shift,1042,0.18818854975618565,conversational,0.41332804442681476,Perspective shift,P
gemma4_31b,gpqa,high,9,5731,Perspective_Shift,903,0.1575641249345664,conversational,0.36993035641130684,Perspective shift,P
gemma4_31b,gpqa,low,0,3099,verification,309,0.09970958373668926,cognitive,0.4710365853658537,Verification,V
gemma4_31b,gpqa,low,1,3039,verification,475,0.15630141493912472,cognitive,0.5319148936170213,Verification,V
gemma4_31b,gpqa,low,2,3056,verification,520,0.17015706806282724,cognitive,0.5405405405405406,Verification,V
gemma4_31b,gpqa,low,3,3040,verification,510,0.16776315789473684,cognitive,0.5629139072847682,Verification,V
gemma4_31b,gpqa,low,4,3035,verification,550,0.1812191103789127,cognitive,0.5958829902491874,Verification,V
gemma4_31b,gpqa,low,5,3063,verification,575,0.18772445315050604,cognitive,0.594622543950362,Verification,V
gemma4_31b,gpqa,low,6,3050,verification,577,0.18918032786885247,cognitive,0.6054564533053515,Verification,V
gemma4_31b,gpqa,low,7,3046,verification,587,0.1927117531188444,cognitive,0.6298283261802575,Verification,V
gemma4_31b,gpqa,low,8,3049,verification,653,0.2141685798622499,cognitive,0.6576032225579054,Verification,V
gemma4_31b,gpqa,low,9,3111,verification,739,0.2375441980070717,cognitive,0.7223851417399805,Verification,V
gemma4_31b,gpqa,low,0,3099,Perspective_Shift,449,0.14488544691836075,conversational,0.4696652719665272,Perspective shift,P
gemma4_31b,gpqa,low,1,3039,Perspective_Shift,551,0.18130964132938468,conversational,0.4461538461538462,Perspective shift,P
gemma4_31b,gpqa,low,2,3056,Perspective_Shift,603,0.19731675392670156,conversational,0.4363241678726483,Perspective shift,P
gemma4_31b,gpqa,low,3,3040,Perspective_Shift,602,0.1980263157894737,conversational,0.45606060606060606,Perspective shift,P
gemma4_31b,gpqa,low,4,3035,Perspective_Shift,607,0.2,conversational,0.447310243183493,Perspective shift,P
gemma4_31b,gpqa,low,5,3063,Perspective_Shift,606,0.197845249755142,conversational,0.4563253012048193,Perspective shift,P
gemma4_31b,gpqa,low,6,3050,Perspective_Shift,587,0.19245901639344262,conversational,0.4423511680482291,Perspective shift,P
gemma4_31b,gpqa,low,7,3046,Perspective_Shift,567,0.1861457649376231,conversational,0.4471608832807571,Perspective shift,P
gemma4_31b,gpqa,low,8,3049,Perspective_Shift,549,0.18005903574942606,conversational,0.4134036144578313,Perspective shift,P
gemma4_31b,gpqa,low,9,3111,Perspective_Shift,512,0.164577306332369,conversational,0.38876233864844345,Perspective shift,P
gemma4_31b,idea,all,0,2111,subgoal,250,0.11842728564661298,cognitive,0.984251968503937,Subgoal setting,S
gemma4_31b,idea,all,1,1865,subgoal,566,0.303485254691689,cognitive,0.8191027496382055,Subgoal setting,S
gemma4_31b,idea,all,2,1918,verification,528,0.27528675703858185,cognitive,0.5432098765432098,Verification,V
gemma4_31b,idea,all,3,1860,verification,740,0.3978494623655914,cognitive,0.6630824372759857,Verification,V
gemma4_31b,idea,all,4,1801,verification,564,0.31315935591338145,cognitive,0.5743380855397149,Verification,V
gemma4_31b,idea,all,5,1981,backtracking,428,0.2160524987380111,cognitive,0.4597207303974221,Backtracking,B
gemma4_31b,idea,all,6,1904,backtracking,330,0.17331932773109243,cognitive,0.5221518987341772,Backtracking,B
gemma4_31b,idea,all,7,1874,verification,155,0.08271077908217717,cognitive,0.4223433242506812,Verification,V
gemma4_31b,idea,all,8,1909,verification,719,0.3766369827134625,cognitive,0.9101265822784811,Verification,V
gemma4_31b,idea,all,9,2162,verification,1008,0.4662349676225717,cognitive,0.8161943319838056,Verification,V
gemma4_31b,idea,all,0,2111,Perspective_Shift,151,0.07153008053055424,conversational,0.5968379446640317,Perspective shift,P
gemma4_31b,idea,all,1,1865,Perspective_Shift,1083,0.5806970509383378,conversational,0.7387448840381993,Perspective shift,P
gemma4_31b,idea,all,2,1918,Perspective_Shift,1079,0.5625651720542232,conversational,0.6496086694762191,Perspective shift,P
gemma4_31b,idea,all,3,1860,Perspective_Shift,907,0.4876344086021505,conversational,0.5700817096165933,Perspective shift,P
gemma4_31b,idea,all,4,1801,Perspective_Shift,890,0.49416990560799556,conversational,0.5917553191489362,Perspective shift,P
gemma4_31b,idea,all,5,1981,Perspective_Shift,945,0.47703180212014135,conversational,0.6124432922877511,Perspective shift,P
gemma4_31b,idea,all,6,1904,Perspective_Shift,643,0.33771008403361347,conversational,0.577717879604672,Perspective shift,P
gemma4_31b,idea,all,7,1874,Perspective_Shift,269,0.14354322305229456,conversational,0.4094368340943683,Perspective shift,P
gemma4_31b,idea,all,8,1909,Question_and_Answering,816,0.42744892613934,conversational,0.7771428571428572,Question–answer,Q
gemma4_31b,idea,all,9,2162,Question_and_Answering,1104,0.5106382978723404,conversational,0.8123620309050772,Question–answer,Q
gemma4_31b,idea,high,0,1686,subgoal,186,0.1103202846975089,cognitive,0.9893617021276596,Subgoal setting,S
gemma4_31b,idea,high,1,1491,subgoal,467,0.3132126089872569,cognitive,0.8250883392226148,Subgoal setting,S
gemma4_31b,idea,high,2,1535,verification,411,0.26775244299674267,cognitive,0.5472703062583223,Verification,V
gemma4_31b,idea,high,3,1486,verification,588,0.39569313593539707,cognitive,0.6674233825198639,Verification,V
gemma4_31b,idea,high,4,1440,verification,447,0.3104166666666667,cognitive,0.5730769230769232,Verification,V
gemma4_31b,idea,high,5,1581,backtracking,329,0.20809614168247945,cognitive,0.4482288828337875,Backtracking,B
gemma4_31b,idea,high,6,1525,backtracking,256,0.1678688524590164,cognitive,0.5150905432595573,Backtracking,B
gemma4_31b,idea,high,7,1496,verification,127,0.08489304812834225,cognitive,0.4471830985915493,Verification,V
gemma4_31b,idea,high,8,1530,verification,600,0.39215686274509803,cognitive,0.9146341463414634,Verification,V
gemma4_31b,idea,high,9,1727,verification,821,0.4753908511870295,cognitive,0.8185443668993021,Verification,V
gemma4_31b,idea,high,0,1686,Perspective_Shift,105,0.06227758007117438,conversational,0.5614973262032086,Perspective shift,P
gemma4_31b,idea,high,1,1491,Perspective_Shift,842,0.5647216633132126,conversational,0.7252368647717484,Perspective shift,P
gemma4_31b,idea,high,2,1535,Perspective_Shift,867,0.5648208469055375,conversational,0.654833836858006,Perspective shift,P
gemma4_31b,idea,high,3,1486,Perspective_Shift,718,0.4831763122476447,conversational,0.5671406003159558,Perspective shift,P
gemma4_31b,idea,high,4,1440,Perspective_Shift,711,0.49375,conversational,0.5920066611157369,Perspective shift,P
gemma4_31b,idea,high,5,1581,Perspective_Shift,744,0.47058823529411764,conversational,0.6108374384236454,Perspective shift,P
gemma4_31b,idea,high,6,1525,Perspective_Shift,503,0.3298360655737705,conversational,0.5696489241223104,Perspective shift,P
gemma4_31b,idea,high,7,1496,Perspective_Shift,202,0.13502673796791445,conversational,0.40480961923847697,Perspective shift,P
gemma4_31b,idea,high,8,1530,Question_and_Answering,678,0.44313725490196076,conversational,0.7811059907834101,Question–answer,Q
gemma4_31b,idea,high,9,1727,Question_and_Answering,912,0.5280833815865663,conversational,0.8268359020852221,Question–answer,Q
gemma4_31b,idea,low,0,425,subgoal,64,0.15058823529411763,cognitive,0.9696969696969697,Subgoal setting,S
gemma4_31b,idea,low,1,374,subgoal,99,0.2647058823529412,cognitive,0.792,Subgoal setting,S
gemma4_31b,idea,low,2,383,verification,117,0.30548302872062666,cognitive,0.5294117647058824,Verification,V
gemma4_31b,idea,low,3,374,verification,152,0.40641711229946526,cognitive,0.6468085106382978,Verification,V
gemma4_31b,idea,low,4,361,verification,117,0.32409972299168976,cognitive,0.5792079207920793,Verification,V
gemma4_31b,idea,low,5,400,backtracking,99,0.2475,cognitive,0.5025380710659898,Backtracking,B
gemma4_31b,idea,low,6,379,backtracking,74,0.19525065963060687,cognitive,0.5481481481481482,Backtracking,B
gemma4_31b,idea,low,7,378,backtracking,38,0.10052910052910052,cognitive,0.4578313253012048,Backtracking,B
gemma4_31b,idea,low,8,379,verification,119,0.31398416886543534,cognitive,0.8880597014925373,Verification,V
gemma4_31b,idea,low,9,435,verification,187,0.4298850574712644,cognitive,0.8060344827586207,Verification,V
gemma4_31b,idea,low,0,425,Perspective_Shift,46,0.10823529411764705,conversational,0.696969696969697,Perspective shift,P
gemma4_31b,idea,low,1,374,Perspective_Shift,241,0.6443850267379679,conversational,0.7901639344262295,Perspective shift,P
gemma4_31b,idea,low,2,383,Perspective_Shift,212,0.5535248041775457,conversational,0.629080118694362,Perspective shift,P
gemma4_31b,idea,low,3,374,Perspective_Shift,189,0.5053475935828877,conversational,0.5815384615384616,Perspective shift,P
gemma4_31b,idea,low,4,361,Perspective_Shift,179,0.49584487534626037,conversational,0.5907590759075908,Perspective shift,P
gemma4_31b,idea,low,5,400,Perspective_Shift,201,0.5025,conversational,0.6184615384615384,Perspective shift,P
gemma4_31b,idea,low,6,379,Perspective_Shift,140,0.36939313984168864,conversational,0.608695652173913,Perspective shift,P
gemma4_31b,idea,low,7,378,Perspective_Shift,67,0.17724867724867724,conversational,0.4240506329113924,Perspective shift,P
gemma4_31b,idea,low,8,379,Question_and_Answering,138,0.3641160949868074,conversational,0.7582417582417583,Question–answer,Q
gemma4_31b,idea,low,9,435,Question_and_Answering,192,0.4413793103448276,conversational,0.75,Question–answer,Q
gemma4_31b,math,all,0,2472,subgoal,162,0.06553398058252427,cognitive,0.5294117647058824,Subgoal setting,S
gemma4_31b,math,all,1,2216,subgoal,182,0.08212996389891697,cognitive,0.42129629629629634,Subgoal setting,S
gemma4_31b,math,all,2,2267,verification,250,0.11027790030877813,cognitive,0.5050505050505051,Verification,V
gemma4_31b,math,all,3,2207,verification,323,0.1463525147258722,cognitive,0.5757575757575757,Verification,V
gemma4_31b,math,all,4,2175,verification,344,0.15816091954022987,cognitive,0.6552380952380952,Verification,V
gemma4_31b,math,all,5,2324,verification,418,0.17986230636833048,cognitive,0.7133105802047782,Verification,V
gemma4_31b,math,all,6,2255,verification,478,0.21197339246119734,cognitive,0.7433903576982892,Verification,V
gemma4_31b,math,all,7,2219,verification,555,0.2501126633618747,cognitive,0.7894736842105263,Verification,V
gemma4_31b,math,all,8,2264,verification,661,0.2919611307420495,cognitive,0.8231631382316313,Verification,V
gemma4_31b,math,all,9,2527,verification,831,0.32884843688167786,cognitive,0.8638253638253638,Verification,V
gemma4_31b,math,all,0,2472,Perspective_Shift,172,0.06957928802588997,conversational,0.46612466124661245,Perspective shift,P
gemma4_31b,math,all,1,2216,Perspective_Shift,230,0.10379061371841156,conversational,0.48625792811839325,Perspective shift,P
gemma4_31b,math,all,2,2267,Perspective_Shift,252,0.11116012351124835,conversational,0.45901639344262296,Perspective shift,P
gemma4_31b,math,all,3,2207,Perspective_Shift,241,0.10919800634345266,conversational,0.41056218057921634,Perspective shift,P
gemma4_31b,math,all,4,2175,Perspective_Shift,248,0.11402298850574713,conversational,0.3980738362760835,Perspective shift,P
gemma4_31b,math,all,5,2324,Perspective_Shift,284,0.12220309810671257,conversational,0.42011834319526625,Perspective shift,P
gemma4_31b,math,all,6,2255,Perspective_Shift,285,0.12638580931263857,conversational,0.4222222222222222,Perspective shift,P
gemma4_31b,math,all,7,2219,Perspective_Shift,321,0.14465975664713834,conversational,0.45531914893617015,Perspective shift,P
gemma4_31b,math,all,8,2264,Perspective_Shift,326,0.1439929328621908,conversational,0.4399460188933873,Perspective shift,P
gemma4_31b,math,all,9,2527,Perspective_Shift,279,0.11040759794222398,conversational,0.35861182519280205,Perspective shift,P
gemma4_31b,math,high,0,1320,subgoal,76,0.05757575757575758,cognitive,0.5205479452054794,Subgoal setting,S
gemma4_31b,math,high,1,1197,verification,96,0.08020050125313283,cognitive,0.44036697247706424,Verification,V
gemma4_31b,math,high,2,1219,verification,129,0.10582444626743231,cognitive,0.5222672064777328,Verification,V
gemma4_31b,math,high,3,1206,verification,175,0.1451077943615257,cognitive,0.5833333333333334,Verification,V
gemma4_31b,math,high,4,1172,verification,187,0.15955631399317405,cognitive,0.6977611940298507,Verification,V
gemma4_31b,math,high,5,1247,verification,231,0.18524458700882118,cognitive,0.7403846153846154,Verification,V
gemma4_31b,math,high,6,1224,verification,250,0.2042483660130719,cognitive,0.7836990595611285,Verification,V
gemma4_31b,math,high,7,1201,verification,316,0.2631140716069942,cognitive,0.8426666666666667,Verification,V
gemma4_31b,math,high,8,1215,verification,374,0.30781893004115224,cognitive,0.8657407407407408,Verification,V
gemma4_31b,math,high,9,1350,verification,428,0.31703703703703706,cognitive,0.884297520661157,Verification,V
gemma4_31b,math,high,0,1320,Perspective_Shift,91,0.06893939393939394,conversational,0.47150259067357514,Perspective shift,P
gemma4_31b,math,high,1,1197,Perspective_Shift,116,0.09690893901420217,conversational,0.46774193548387094,Perspective shift,P
gemma4_31b,math,high,2,1219,Perspective_Shift,129,0.10582444626743231,conversational,0.4640287769784172,Perspective shift,P
gemma4_31b,math,high,3,1206,Perspective_Shift,133,0.11028192371475953,conversational,0.42765273311897106,Perspective shift,P
gemma4_31b,math,high,4,1172,Perspective_Shift,137,0.11689419795221843,conversational,0.4151515151515151,Perspective shift,P
gemma4_31b,math,high,5,1247,Perspective_Shift,157,0.12590216519647154,conversational,0.4422535211267606,Perspective shift,P
gemma4_31b,math,high,6,1224,Perspective_Shift,156,0.12745098039215685,conversational,0.43697478991596633,Perspective shift,P
gemma4_31b,math,high,7,1201,Perspective_Shift,167,0.13905079100749376,conversational,0.4575342465753425,Perspective shift,P
gemma4_31b,math,high,8,1215,Perspective_Shift,165,0.13580246913580246,conversational,0.4263565891472868,Perspective shift,P
gemma4_31b,math,high,9,1350,Perspective_Shift,138,0.10222222222222223,conversational,0.3660477453580902,Perspective shift,P
gemma4_31b,math,low,0,1152,subgoal,86,0.07465277777777778,cognitive,0.5375,Subgoal setting,S
gemma4_31b,math,low,1,1019,subgoal,91,0.08930323846908735,cognitive,0.42523364485981313,Subgoal setting,S
gemma4_31b,math,low,2,1048,verification,121,0.11545801526717557,cognitive,0.48790322580645157,Verification,V
gemma4_31b,math,low,3,1001,verification,148,0.14785214785214784,cognitive,0.5670498084291188,Verification,V
gemma4_31b,math,low,4,1003,verification,157,0.15653040877367896,cognitive,0.6108949416342412,Verification,V
gemma4_31b,math,low,5,1077,verification,187,0.17363045496750232,cognitive,0.6824817518248176,Verification,V
gemma4_31b,math,low,6,1031,verification,228,0.22114451988360814,cognitive,0.7037037037037037,Verification,V
gemma4_31b,math,low,7,1018,verification,239,0.23477406679764243,cognitive,0.7286585365853658,Verification,V
gemma4_31b,math,low,8,1049,verification,287,0.27359389895138225,cognitive,0.7735849056603773,Verification,V
gemma4_31b,math,low,9,1177,verification,403,0.34239592183517414,cognitive,0.8430962343096234,Verification,V
gemma4_31b,math,low,0,1152,Perspective_Shift,81,0.0703125,conversational,0.4602272727272727,Perspective shift,P
gemma4_31b,math,low,1,1019,Perspective_Shift,114,0.11187438665358194,conversational,0.5066666666666666,Perspective shift,P
gemma4_31b,math,low,2,1048,Perspective_Shift,123,0.11736641221374046,conversational,0.45387453874538747,Perspective shift,P
gemma4_31b,math,low,3,1001,Perspective_Shift,108,0.10789210789210789,conversational,0.391304347826087,Perspective shift,P
gemma4_31b,math,low,4,1003,Perspective_Shift,111,0.1106679960119641,conversational,0.37883959044368604,Perspective shift,P
gemma4_31b,math,low,5,1077,Perspective_Shift,127,0.11792014856081709,conversational,0.39563862928348914,Perspective shift,P
gemma4_31b,math,low,6,1031,Perspective_Shift,129,0.1251212415130941,conversational,0.4056603773584906,Perspective shift,P
gemma4_31b,math,low,7,1018,Perspective_Shift,154,0.1512770137524558,conversational,0.45294117647058824,Perspective shift,P
gemma4_31b,math,low,8,1049,Perspective_Shift,161,0.1534795042897998,conversational,0.4548022598870056,Perspective shift,P
gemma4_31b,math,low,9,1177,Perspective_Shift,141,0.11979609175870858,conversational,0.3516209476309227,Perspective shift,P
gemma4_31b,moral,all,0,2097,subgoal,225,0.1072961373390558,cognitive,0.986842105263158,Subgoal setting,S
gemma4_31b,moral,all,1,1861,subgoal,319,0.17141321869962386,cognitive,0.9845679012345678,Subgoal setting,S
gemma4_31b,moral,all,2,1918,subgoal,405,0.21115745568300312,cognitive,0.9830097087378641,Subgoal setting,S
gemma4_31b,moral,all,3,1841,subgoal,385,0.20912547528517111,cognitive,0.9697732997481108,Subgoal setting,S
gemma4_31b,moral,all,4,1821,subgoal,323,0.17737506864360242,cognitive,0.9228571428571428,Subgoal setting,S
gemma4_31b,moral,all,5,1953,subgoal,423,0.21658986175115208,cognitive,0.9420935412026726,Subgoal setting,S
